id,group,scene_title,variant,prompt,crop_guidance,negative_constraints,recommended_ratios
WW-001,hero,Emergency Plumbing Hero,A,"Photoreal cinematic editorial photo, dawn emergency in a suburban Colorado kitchen: licensed plumber in clean navy uniform kneels at an open under-sink cabinet, controlled water spray from a burst line, branded generic tool bag at frame edge, homeowner soft-focused in background, warm practical lighting, realistic skin and fabric texture, 50mm lens depth, trustworthy calm problem-solving moment.","Keep plumber face and hands inside center 60% width / middle 55% height; preserve top 12% clean for headline; avoid placing key details in outer 10% edges for safe 16:9 to 4:5 crops.","No cartoon look, no chaotic flooding, no horror lighting, no extra fingers, no competitor logos, no unreadable text artifacts.","Desktop 16:9; Mobile 4:5; Square 1:1"
WW-001,hero,Emergency Plumbing Hero,B,"Ultra-realistic home service scene at first light: plumber using shutoff wrench under kitchen sink while water is contained by towels and tray, organized tools, homeowner reassured in background, warm-neutral color grade, commercial lifestyle photography, high trust, clean workmanship.","Subject anchored center-right; keep left 35% visually quieter for copy; protect sink and hands in central safe zone for 3:2 / 4:5 / 1:1 crops.","No panic expressions, no heavy mess, no fantasy effects, no brand conflicts.","Desktop 21:9; Tablet 3:2; Mobile 4:5"
WW-002,hero,Water Heater Replacement Hero,A,"Photoreal utility-room install: certified technician aligning a new high-efficiency water heater, copper and PEX lines routed neatly, torque wrench in hand, gloves on, clean basement mechanical area, daylight from window well, premium workmanship, commercial editorial realism.","Keep tank, technician face, and wrench within center 65%; retain top 10% and left 25% for headline/subhead; avoid cutoff of pipe connections at top edge.","No clutter, no rusted chaos, no incorrect safety gear, no off-brand logos.","Desktop 16:9; Mobile 3:4; Square 1:1"
WW-002,hero,Water Heater Replacement Hero,B,"High-detail documentary-style install in a tidy basement: technician pressure-checking new water heater valves, neatly labeled lines (no readable text), organized floor area, balanced warm-neutral lighting, believable local-service quality.","Center-weight composition with slightly lower focal point for mobile crops; keep valve area in middle 50% for 4:5 and 1:1 retention.","No dramatic steam, no cinematic smoke, no surreal glow.","Desktop 16:9; Mobile 4:5; Story 9:16"
WW-003,hero,Drain Cleaning Hero,A,"Photoreal modern kitchen service call: plumber feeding professional drain auger into sink drain, floor protection mats placed, stainless fixtures clean, subtle motion blur on cable feed, calm focused posture, natural daylight, trustworthy repair scene.","Keep auger action and plumber hands in center band (40–65% height); reserve upper-left area for headline; ensure sink rim remains visible in all crops.","No dirty environment, no splash exaggeration, no unsafe posture.","Desktop 16:9; Mobile 4:5; Story 9:16"
WW-003,hero,Drain Cleaning Hero,B,"Commercial editorial close-mid shot: technician clearing kitchen drain with powered snake, tidy countertop, tools organized, neutral color palette, realistic home interior context, confident local professional tone.","Subject center-left with right-side negative space for copy; keep drain opening and cable feed within center 50% width for square crop survivability.","No cluttered counters, no intense grime, no cartoon color grading.","Desktop 3:2; Mobile 4:5; Square 1:1"
WW-004,hero,Leak Detection Hero,A,"Ultra-realistic interior diagnostics: plumber scanning wall with acoustic leak detector while checking moisture meter, homeowner watching with relief from background, bright neutral home interior, precision-focused composition, clean professional tools.","Keep detector device + technician face in central safe block; preserve top 15% for headline; avoid key detail in far-right edge due to mobile crop.","No demolition debris, no panic, no sci-fi scanner effects.","Desktop 16:9; Mobile 4:5; Card 1:1"
WW-004,hero,Leak Detection Hero,B,"Trust-building diagnostic scene: licensed technician marking leak zone lightly on painted wall after meter reading, homeowner in soft focus, controlled lighting, photoreal textures, calm and competent service narrative.","Anchor subject center; leave left 30% simpler for CTA text; keep moisture meter visible in middle third for 1:1 and 4:5.","No dramatic water damage, no alarmist tone, no unreadable labels.","Desktop 16:9; Tablet 3:2; Mobile 4:5"
WW-005,hero,Same-Day Service Van Arrival,A,"Golden-hour driveway arrival: clean branded-generic service van parked curbside, technician stepping out with organized toolkit and friendly expression, suburban home in background, polished yet realistic local-service aesthetic.","Compose with technician in center-right and left-side open sky/wall for copy; keep van door + person within central 70% for 4:5 crop integrity.","No real trademarks, no aggressive lens flares, no unrealistic vehicle reflections.","Desktop 21:9; Mobile 4:5; Square 1:1"
WW-005,hero,Same-Day Service Van Arrival,B,"Photoreal dispatch-arrival moment: technician closing van door while carrying diagnostic bag, neat driveway, warm evening light, trustworthy body language, premium neighborhood service vibe.","Lower horizon for mobile; maintain face and bag in center 55%; keep top band clear for headline overlays.","No cluttered street, no emergency siren look, no competitor branding.","Desktop 16:9; Mobile 4:5; Ad 1:1"
WW-006,hero,Family Safety & Comfort Hero,A,"Warm lifestyle-commercial scene: family relaxing in living room foreground while plumber performs final safety check near utility closet in background, safe distance, soft natural light, realistic home comfort mood, photoreal high detail.","Keep family + technician in one diagonal through center; preserve top 12% empty for title; avoid placing technician at extreme edge.","No staged smiles that feel fake, no child unsafe proximity, no clutter.","Desktop 16:9; Mobile 4:5; Banner 3:1"
WW-006,hero,Family Safety & Comfort Hero,B,"Trust-forward completion scene: technician documenting final system check on tablet near hallway closet, family sharing relaxed moment on sofa, balanced warm-neutral grading, clean upscale residential interior.","Center-weight with foreground family in lower-middle; keep background technician inside center 60% so mobile crop still tells full story.","No exaggerated bokeh blur, no chaotic toys/clutter, no visible logos.","Desktop 16:9; Tablet 3:2; Mobile 4:5"
WW-017,service-header,Drain Cleaning Service Header,A,"Wide web-header composition, photoreal: technician feeding drain snake into bathroom sink, bright clean tile bathroom, professional stance, neatly staged tools, modern residential finish, confidence and cleanliness.","Header-safe: keep sink action and face in center 50% width / middle 45% height; maintain top and bottom 8% as low-detail bands for responsive crops.","No dirty grout, no dramatic overflow, no distorted anatomy.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-017,service-header,Drain Cleaning Service Header,B,"Crisp commercial interior scene: plumber clearing lavatory drain with compact auger, pristine countertop and mirror reflections controlled, natural daylight plus soft fill, premium service-page hero look.","Place subject slightly right of center, leave left third cleaner for H1 text; keep cable entry point centered for narrow crops.","No mirror glitches, no clutter, no harsh HDR artifacts.","Web 2.74:1; Desktop 16:6; Mobile 4:5"
WW-018,service-header,Water Heater Service Header,A,"Wide utility-room header image: technician inspecting water heater thermostat and pressure-relief valve, tidy piping, clean floor, warm-neutral grading, realistic expert maintenance moment.","Keep tank + technician torso in central horizontal band; reserve upper-left for service title; avoid cutting valve area in tablet crop.","No rust-heavy neglect scene, no fantasy steam, no text overlays.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-018,service-header,Water Heater Service Header,B,"Photoreal maintenance check: licensed pro uses multimeter and valve test at modern water heater setup, organized mechanical room, dependable craftsmanship, editorial commercial style.","Center-left subject placement with right-side breathing room for copy; maintain key controls inside center 60% for mobile.","No unsafe wiring depiction, no grime overload, no brand logos.","Web 1920x700; Laptop 16:9 crop; Mobile 4:5"
WW-019,service-header,Leak Repair Service Header,A,"Wide interior repair scene: technician opening small wall section to repair leak with moisture barrier and drop cloths in place, careful clean workmanship, realistic textures, homeowner-safe environment.","Keep repair action and technician face centered; retain top 10% quiet area for page title; avoid far-edge placement of leak point.","No major destruction, no mold-horror styling, no dusty chaos.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-019,service-header,Leak Repair Service Header,B,"Service-page hero, photoreal: plumber sealing repaired pipe section behind opened access panel, protective coverings on floor and nearby furniture, calm precision-focused composition.","Subject in center 55%; leave one side with lower detail for text overlay; ensure access panel visible for square fallback crop.","No exposed dangerous tools near living area, no extreme mess.","Web 2.74:1; Tablet 3:1; Mobile 4:5"
WW-020,service-header,Sewer Line Service Header,A,"Outdoor daytime inspection scene, wide format: technician at residential cleanout reviewing sewer camera feed on monitor, neat truck setup, safety cones, dry tidy yard, professional municipal-compliant feel.","Keep monitor + technician in central band; reserve top-left for H1; maintain cones within frame edge without crowding center.","No sewage visuals, no muddy disaster, no hazard exaggeration.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-020,service-header,Sewer Line Service Header,B,"Photoreal yard diagnostic: plumber guiding inspection cable into cleanout while glancing at camera screen, organized equipment case, bright natural light, competence-forward composition.","Anchor action near center-right; keep left third clean for text; ensure cable entry point remains inside middle 50% for mobile crop.","No dirty spill, no unsafe PPE omissions, no competitor logos.","Web 1920x700; Desktop 16:6; Mobile 4:5"
WW-021,service-header,Fixture Installation Header,A,"Bright modern bathroom header: installer mounting premium faucet and verifying alignment with level, microfiber cloth and tools arranged neatly, polished residential finish, photoreal realism.","Center faucet and hands in middle 45% height; keep upper band uncluttered for title; avoid clipping faucet spout in narrow crops.","No water spots, no crooked fixtures, no cluttered counters.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-021,service-header,Fixture Installation Header,B,"Commercial editorial bathroom install scene: technician final-tightening modern faucet connections, clean vanity surface, soft daylight, premium and precise craftsmanship mood.","Subject centered with slight left offset; reserve right-side negative space for CTA; keep faucet silhouette fully inside safe zone.","No reflective distortion artifacts, no tool chaos.","Web 2.74:1; Tablet 3:1; Mobile 4:5"
WW-022,service-header,Toilet Repair Header,A,"Wide residential bathroom repair scene: technician replacing toilet fill valve with gloves, protective floor mat and towels placed, clean tile, reassuring and competent service tone.","Keep technician hands + tank area in center block; preserve top 10% for heading; ensure toilet profile remains readable in mobile crop.","No unsanitary visuals, no overdramatic water spray, no awkward anatomy.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-022,service-header,Toilet Repair Header,B,"Photoreal close-wide service header: plumber testing flush mechanism after internal valve replacement, organized small tool kit nearby, bright neutral bathroom lighting.","Center toilet tank and technician face in middle third; keep one side less busy for text overlays.","No visible waste, no grimy surfaces, no comedic tone.","Web 1920x700; Desktop 16:6; Mobile 4:5"
WW-023,service-header,Repiping Header,A,"Mid-renovation corridor, wide header format: plumber crimping new PEX lines along open wall framing, orderly routing, dust controlled, code-compliant clean install aesthetic, photoreal detail.","Keep crimping action in center 55%; maintain top strip for headline; prevent key pipe junctions from edge cutoff.","No messy demolition chaos, no unsafe ladder posture, no brand marks.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-023,service-header,Repiping Header,B,"Professional repipe documentation style: technician pressure-testing newly installed PEX manifold in partially finished hallway, clean materials staging, bright realistic work lighting.","Subject slightly center-left with right-side breathing room; keep manifold within central safe zone for square fallback.","No excessive dust haze, no dramatic sparks, no clutter piles.","Web 2.74:1; Tablet 3:1; Mobile 4:5"
WW-024,service-header,Commercial Plumbing Header,A,"Wide commercial service header: clean restaurant back-of-house sink line, plumber servicing grease-trap plumbing while manager observes, hygiene-forward and compliance-focused atmosphere, realistic lighting.","Keep technician and manager interaction centered; preserve upper-left area for service title; keep stainless surfaces from clipping at edges.","No food contamination cues, no messy kitchen clutter, no visible third-party logos.","Web header 1920x700; Tablet 3:1; Mobile 4:5"
WW-024,service-header,Commercial Plumbing Header,B,"Photoreal B2B maintenance scene: licensed plumber inspecting commercial sink drainage assembly with checklist tablet, manager nearby, spotless prep area, dependable professional tone.","Center interaction in middle band; leave one side cleaner for overlay text; keep sink basin and hands in central 60%.","No brand conflicts, no safety violations, no dramatic grime.","Web 1920x700; Desktop 16:6; Mobile 4:5"
